elapsed_time_s,x_ms2,y_ms2,z_ms2,pca_value,ema_value
0.1,10.077194787597655,-0.4908113403320312,0.0143652099609375,0.0,0.0
0.2,10.115502014160155,0.1580173095703125,-0.17238251953125,0.33812748151085564,0.06762549630217113
0.3,10.1131078125,-0.143652099609375,0.055066638183593745,0.01004543465274621,0.05610948397228615
0.4,10.134655627441406,0.06943184814453125,-0.13407529296874998,0.18704767612385476,0.08229712240259987
0.5,10.041281762695311,-0.00239420166015625,0.04548983154296875,0.04965166192019571,0.07576803030611905
0.6,10.081983190917969,-0.08140285644531249,0.12210428466796874,0.04059109857587445,0.06873264396007013
0.7,9.923965881347655,-0.143652099609375,0.05746083984375,0.08392531353328747,0.0717711778747136
0.8,10.153809240722655,0.05027823486328125,0.26336218261718747,0.07140012182646438,0.07169696666506375
0.9,10.007762939453125,-0.047884033203124995,0.0143652099609375,0.01749807625227895,0.0608571885825068
1.0,9.988609326171874,-0.028730419921875,0.2609679809570312,0.02936978015137992,0.054559706896281424
1.1,10.046070166015625,-0.12210428466796874,0.10773907470703124,0.06434169483311947,0.056516104483649035
1.2,10.034099157714843,-0.086191259765625,0.11252747802734374,0.030508317266727536,0.05131454704026474
1.3,10.026916552734374,-0.0047884033203125,-0.08140285644531249,0.09699971258085105,0.060451580148382006
1.4,10.108319409179687,-0.06464344482421874,-0.016759411621093748,0.02822843063495939,0.05400695024569749
1.5,10.01015714111328,-0.023942016601562498,0.062249243164062495,0.027581029388954237,0.048721766074348846
1.6,10.043675964355469,-0.05985504150390625,0.00718260498046875,0.01434254815518865,0.04184592249051681
1.7,10.002974536132811,-0.10773907470703124,-0.0047884033203125,0.030303740731926432,0.03953748613879873
1.8,10.01015714111328,-0.086191259765625,-0.028730419921875,0.0015721326007795966,0.0319444154311949
1.9,10.046070166015625,-0.0718260498046875,-0.086191259765625,0.03399153933313093,0.03235384021158211
2.0,10.05564697265625,-0.08858546142578125,0.02154781494140625,0.014908231283018436,0.028864718425869376
2.1,9.991003527832031,-0.06703764648437499,-0.05746083984375,0.02289203046718824,0.027670180834133147
2.2,10.065223779296874,-0.040701428222656245,0.0,0.03545322453164035,0.029226789573634587
2.3,10.041281762695311,-0.040701428222656245,-0.0143652099609375,0.035914614956017665,0.030564354650111206
2.4,10.046070166015625,-0.08140285644531249,0.033518823242187495,0.016926358178819045,0.027836755355852776
2.5,10.002974536132811,-0.05027823486328125,0.023942016601562498,0.010064907886553343,0.02428238586199289
2.6,10.036493359375,-0.1580173095703125,0.01915361328125,0.08227566442331169,0.03588104157425665
2.7,10.065223779296874,-0.076614453125,0.05027823486328125,0.01238759605965889,0.0311823524713371
2.8,10.084377392578125,-0.17477672119140625,0.09576806640624999,0.11418202909086594,0.04778228779524287
2.9,9.988609326171874,0.04548983154296875,0.1149216796875,0.07790635325094886,0.053807100886384074
3.0,9.993397729492187,-0.08140285644531249,0.08379705810546874,0.0313897166574707,0.0493236240406014
3.1,10.089165795898436,-0.11252747802734374,-0.13407529296874998,0.017459575612163603,0.042950814354913845
3.2,10.070012182617187,-0.05746083984375,0.076614453125,0.0008650294802245995,0.034533657379976
3.3,10.050858569335936,-0.05985504150390625,-0.08379705810546874,0.047345448963129644,0.03709601569660673
