elapsed_time_s,ema_value
1.7586467266082764,0.0
1.9327502250671387,-0.01697838473611508
2.114903688430786,-0.04110501026072713
2.295436382293701,-0.06509204137734237
2.4961695671081543,-0.10219602714562726
2.6742963790893555,-0.135818359119937
2.873021364212036,-0.1833535930935214
3.062490224838257,-0.23353550261950784
3.2710890769958496,-0.28529029594493516
3.4453649520874023,-0.34640676171404833
3.629263162612915,-0.40535935182036675
3.807690143585205,-0.46783683820081434
4.007756233215332,-0.5333436625499672
4.1951069831848145,-0.5952705144025211
4.395352125167847,-0.6609336421056885
4.578541278839111,-0.728763050592097
4.780093431472778,-0.7960930938162236
4.96399712562561,-0.8637041913890743
5.1406707763671875,-0.9279640266606186
5.3278467655181885,-0.9913734958519043
5.52421236038208,-1.0582643088433505
5.727501630783081,-1.1298500509225122
5.927196741104126,-1.189122884961427
6.126251459121704,-1.2578992388747074
6.307525873184204,-1.319263904633343
6.506402969360352,-1.3754249461029948
6.712439060211182,-1.4295834316191711
6.910010099411011,-1.4855049539297882
7.112316846847534,-1.5426225263758409
7.304885149002075,-1.6013937639293432
7.494105100631714,-1.656574211079282
7.695082187652588,-1.7046767100013331
7.894590854644775,-1.7586882702225926
8.09427547454834,-1.8119922949013991
8.294361352920532,-1.8593432600379696
8.489884376525879,-1.9033834614895944
8.693999767303467,-1.9454512024220478
8.89246654510498,-1.9888619973794528
9.076552629470825,-2.0286356567061423
9.278465270996094,-2.067859374192774
9.463301420211792,-2.1126984173127004
9.595547437667847,-2.1498368134599426
9.793295860290527,-2.1929952278412506
9.99489450454712,-2.2256500949380635
10.192076683044434,-2.261212256492486
10.394117832183838,-2.292643696410871
10.578696966171265,-2.319072664785378
10.774244546890259,-2.352484054078548
10.976051807403564,-2.380307910076777
11.174513339996338,-2.4080699719288337
11.373041152954102,-2.439828378448699
11.559455394744873,-2.4645787603332385
11.75706958770752,-2.491990458693714
11.933784008026123,-2.5174801101473756
12.128855228424072,-2.5459365358602986
12.327706098556519,-2.5674060667167895
12.516077518463135,-2.5875004855707404
12.710729360580444,-2.6117906292204576
12.890449047088623,-2.6304617456677923
13.073253870010376,-2.654937051050421
